Strategy,Avg Return,Accuracy,Score,Weight,Date
Fusion,1.17,1.0,0.85,0.25,2025-07-05
LSTM,1.17,1.0,0.85,0.25,2025-07-05
Macro,1.17,1.0,0.85,0.25,2025-07-05
Sentiment,1.17,1.0,0.85,0.25,2025-07-05
Fusion,1.17,1.0,0.85,0.25,2025-07-05
LSTM,1.17,1.0,0.85,0.25,2025-07-05
Macro,1.17,1.0,0.85,0.25,2025-07-05
Sentiment,1.17,1.0,0.85,0.25,2025-07-05
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
Sentiment,0.25,2025-07-06
Fusion,0.25,2025-07-06
LSTM,0.25,2025-07-06
Macro,0.25,2025-07-06
